topic_id,start_segment_id
Bmr012.topic.1,Bmr012.segment.2
Bmr012.topic.2,Bmr012.segment.63
Bmr012.topic.3,Bmr012.segment.122
Bmr012.topic.4,Bmr012.segment.143
Bmr012.topic.5,Bmr012.segment.158
Bmr012.topic.6,Bmr012.segment.295
Bmr012.topic.9,Bmr012.segment.607
Bmr012.topic.10,Bmr012.segment.650
Bmr012.topic.11,Bmr012.segment.841
Bmr012.topic.13,Bmr012.segment.873
Bmr012.topic.14,Bmr012.segment.908
Bmr012.topic.15,Bmr012.segment.1081
Bmr012.topic.16,Bmr012.segment.1101
Bmr012.topic.17,Bmr012.segment.1155
Bmr012.topic.18,Bmr012.segment.1196
Bmr012.topic.19,Bmr012.segment.1271
Bmr012.topic.20,Bmr012.segment.1273
