topic_id,start_segment_id
Bed002.topic.1,Bed002.segment.1
Bed002.topic.2,Bed002.segment.44
Bed002.topic.3,Bed002.segment.306
Bed002.topic.4,Bed002.segment.330
Bed002.topic.5,Bed002.segment.441
Bed002.topic.6,Bed002.segment.477
Bed002.topic.7,Bed002.segment.501
Bed002.topic.8,Bed002.segment.614
Bed002.topic.9,Bed002.segment.738
Bed002.topic.10,Bed002.segment.801
Bed002.topic.11,Bed002.segment.876
Bed002.topic.12,"Bed002.segment.1,109"
Bed002.topic.13,"Bed002.segment.1,189"
Bed002.topic.14,"Bed002.segment.1,190"
Bed002.topic.15,"Bed002.segment.1,289"
Bed002.topic.16,"Bed002.segment.1,580"
