topic_id,start_segment_id
Bed014.topic.1,Bed014.segment.1
Bed014.topic.2,Bed014.segment.93
Bed014.topic.3,Bed014.segment.127
Bed014.topic.4,Bed014.segment.137
Bed014.topic.5,Bed014.segment.210
Bed014.topic.6,Bed014.segment.281
Bed014.topic.7,Bed014.segment.311
Bed014.topic.8,Bed014.segment.319
Bed014.topic.9,Bed014.segment.356
Bed014.topic.10,Bed014.segment.363
Bed014.topic.11,Bed014.segment.428
Bed014.topic.12,Bed014.segment.450
Bed014.topic.13,Bed014.segment.530
Bed014.topic.14,Bed014.segment.631
Bed014.topic.18,Bed014.segment.872
Bed014.topic.20,"Bed014.segment.1,052"
Bed014.topic.28,"Bed014.segment.1,542"
