topic_id,start_segment_id
Bro027.topic.1,Bro027.segment.1
Bro027.topic.2,Bro027.segment.14
Bro027.topic.3,Bro027.segment.33
Bro027.topic.4,Bro027.segment.173
Bro027.topic.6,Bro027.segment.209
Bro027.topic.7,Bro027.segment.244
Bro027.topic.8,Bro027.segment.323
Bro027.topic.10,Bro027.segment.349
Bro027.topic.11,Bro027.segment.401
Bro027.topic.12,Bro027.segment.631
Bro027.topic.13,Bro027.segment.692
Bro027.topic.14,Bro027.segment.729
Bro027.topic.15,Bro027.segment.817
Bro027.topic.16,Bro027.segment.968
Bro027.topic.17,"Bro027.segment.1,081"
Bro027.topic.18,"Bro027.segment.1,230"
Bro027.topic.20,"Bro027.segment.1,394"
Bro027.topic.21,"Bro027.segment.1,446"
Bro027.topic.22,"Bro027.segment.1,487"
Bro027.topic.23,"Bro027.segment.1,576"
Bro027.topic.24,"Bro027.segment.1,662"
Bro027.topic.26,"Bro027.segment.1,744"
Bro027.topic.27,"Bro027.segment.1,842"
