topic_id,start_segment_id
Bed004.topic.1,Bed004.segment.1
Bed004.topic.2,Bed004.segment.190
Bed004.topic.3,Bed004.segment.199
Bed004.topic.4,Bed004.segment.203
Bed004.topic.5,Bed004.segment.221
Bed004.topic.6,Bed004.segment.321
Bed004.topic.7,Bed004.segment.371
Bed004.topic.8,Bed004.segment.422
Bed004.topic.9,Bed004.segment.454
Bed004.topic.10,Bed004.segment.460
Bed004.topic.11,Bed004.segment.528
Bed004.topic.12,Bed004.segment.644
Bed004.topic.13,Bed004.segment.676
Bed004.topic.14,Bed004.segment.822
Bed004.topic.16,Bed004.segment.878
Bed004.topic.17,Bed004.segment.943
Bed004.topic.18,"Bed004.segment.1,078"
Bed004.topic.19,"Bed004.segment.1,090"
