topic_id,start_segment_id
Bmr019.topic.3,Bmr019.segment.1
Bmr019.topic.12,Bmr019.segment.101
Bmr019.topic.13,Bmr019.segment.104
Bmr019.topic.14,Bmr019.segment.157
Bmr019.topic.15,Bmr019.segment.238
Bmr019.topic.16,Bmr019.segment.298
Bmr019.topic.17,Bmr019.segment.377
Bmr019.topic.9,Bmr019.segment.416
Bmr019.topic.18,Bmr019.segment.511
Bmr019.topic.19,Bmr019.segment.519
Bmr019.topic.20,Bmr019.segment.672
Bmr019.topic.21,Bmr019.segment.744
Bmr019.topic.22,Bmr019.segment.757
Bmr019.topic.23,Bmr019.segment.794
Bmr019.topic.25,Bmr019.segment.898
Bmr019.topic.26,"Bmr019.segment.1,096"
Bmr019.topic.27,"Bmr019.segment.1,176"
Bmr019.topic.28,"Bmr019.segment.1,206"
Bmr019.topic.29,"Bmr019.segment.1,446"
Bmr019.topic.30,"Bmr019.segment.1,705"
Bmr019.topic.31,"Bmr019.segment.2,178"
