topic_id,start_segment_id
Bro018.topic.1,Bro018.segment.1
Bro018.topic.2,Bro018.segment.20
Bro018.topic.3,Bro018.segment.196
Bro018.topic.4,Bro018.segment.276
Bro018.topic.5,Bro018.segment.324
Bro018.topic.6,Bro018.segment.440
Bro018.topic.12,Bro018.segment.468
Bro018.topic.8,Bro018.segment.489
Bro018.topic.11,Bro018.segment.652
Bro018.topic.14,"Bro018.segment.1,027"
Bro018.topic.15,"Bro018.segment.1,199"
Bro018.topic.16,"Bro018.segment.1,297"
Bro018.topic.17,"Bro018.segment.1,365"
Bro018.topic.18,"Bro018.segment.1,465"
Bro018.topic.19,"Bro018.segment.1,705"
Bro018.topic.20,"Bro018.segment.1,727"
