topic_id,start_segment_id
Btr002.topic.1,Btr002.segment.1
Btr002.topic.2,Btr002.segment.44
Btr002.topic.3,Btr002.segment.57
Btr002.topic.4,Btr002.segment.147
Btr002.topic.5,Btr002.segment.176
Btr002.topic.6,Btr002.segment.269
Btr002.topic.7,Btr002.segment.283
Btr002.topic.8,Btr002.segment.314
Btr002.topic.9,Btr002.segment.338
Btr002.topic.10,Btr002.segment.398
Btr002.topic.11,Btr002.segment.417
Btr002.topic.12,Btr002.segment.465
Btr002.topic.13,Btr002.segment.525
Btr002.topic.14,Btr002.segment.556
Btr002.topic.15,Btr002.segment.595
Btr002.topic.16,Btr002.segment.617
Btr002.topic.17,Btr002.segment.723
Btr002.topic.18,Btr002.segment.727
Btr002.topic.19,Btr002.segment.773
Btr002.topic.20,Btr002.segment.788
Btr002.topic.21,Btr002.segment.844
Btr002.topic.22,Btr002.segment.910
Btr002.topic.23,Btr002.segment.988
Btr002.topic.24,"Btr002.segment.1,094"
Btr002.topic.25,"Btr002.segment.1,126"
Btr002.topic.26,"Btr002.segment.1,208"
Btr002.topic.27,"Btr002.segment.1,247"
Btr002.topic.28,"Btr002.segment.1,337"
Btr002.topic.29,"Btr002.segment.1,382"
Btr002.topic.30,"Btr002.segment.1,404"
Btr002.topic.31,"Btr002.segment.1,406"
Btr002.topic.33,"Btr002.segment.1,427"
Btr002.topic.34,"Btr002.segment.1,457"
Btr002.topic.35,"Btr002.segment.1,480"
Btr002.topic.36,"Btr002.segment.1,544"
Btr002.topic.37,"Btr002.segment.1,574"
Btr002.topic.38,"Btr002.segment.1,605"
Btr002.topic.39,"Btr002.segment.1,648"
Btr002.topic.40,"Btr002.segment.1,665"
Btr002.topic.41,"Btr002.segment.1,694"
Btr002.topic.42,"Btr002.segment.1,769"
Btr002.topic.43,"Btr002.segment.1,870"
Btr002.topic.44,"Btr002.segment.1,924"
Btr002.topic.46,"Btr002.segment.2,012"
Btr002.topic.47,"Btr002.segment.2,032"
Btr002.topic.48,"Btr002.segment.2,081"
Btr002.topic.49,"Btr002.segment.2,106"
Btr002.topic.50,"Btr002.segment.2,133"
Btr002.topic.51,"Btr002.segment.2,152"
Btr002.topic.52,"Btr002.segment.2,186"
Btr002.topic.53,"Btr002.segment.2,195"
Btr002.topic.54,"Btr002.segment.2,268"
Btr002.topic.55,"Btr002.segment.2,341"
Btr002.topic.56,"Btr002.segment.2,394"
Btr002.topic.57,"Btr002.segment.2,521"
Btr002.topic.58,"Btr002.segment.2,576"
Btr002.topic.59,"Btr002.segment.2,586"
Btr002.topic.60,"Btr002.segment.2,629"
Btr002.topic.61,"Btr002.segment.2,658"
Btr002.topic.62,"Btr002.segment.2,700"
Btr002.topic.63,"Btr002.segment.2,723"
Btr002.topic.64,"Btr002.segment.2,732"
Btr002.topic.65,"Btr002.segment.2,819"
Btr002.topic.66,"Btr002.segment.2,860"
Btr002.topic.67,"Btr002.segment.2,894"
Btr002.topic.68,"Btr002.segment.2,938"
Btr002.topic.69,"Btr002.segment.2,971"
Btr002.topic.70,"Btr002.segment.3,031"
Btr002.topic.71,"Btr002.segment.3,064"
Btr002.topic.72,"Btr002.segment.3,111"
Btr002.topic.73,"Btr002.segment.3,145"
