topic_id,start_segment_id
Bro004.topic.1,Bro004.segment.1
Bro004.topic.11,Bro004.segment.61
Bro004.topic.12,Bro004.segment.72
Bro004.topic.13,Bro004.segment.116
Bro004.topic.14,Bro004.segment.628
Bro004.topic.15,Bro004.segment.757
Bro004.topic.16,Bro004.segment.859
Bro004.topic.20,"Bro004.segment.1,227"
Bro004.topic.21,"Bro004.segment.1,279"
Bro004.topic.22,"Bro004.segment.1,317"
Bro004.topic.23,"Bro004.segment.1,355"
Bro004.topic.24,"Bro004.segment.1,464"
Bro004.topic.25,"Bro004.segment.1,554"
Bro004.topic.26,"Bro004.segment.1,583"
Bro004.topic.27,"Bro004.segment.1,671"
Bro004.topic.28,"Bro004.segment.1,743"
Bro004.topic.29,"Bro004.segment.1,762"
Bro004.topic.30,"Bro004.segment.1,778"
