topic_id,start_segment_id
Bed013.topic.1,Bed013.segment.1
Bed013.topic.2,Bed013.segment.27
Bed013.topic.3,Bed013.segment.62
Bed013.topic.4,Bed013.segment.86
Bed013.topic.5,Bed013.segment.110
Bed013.topic.6,Bed013.segment.189
Bed013.topic.7,Bed013.segment.260
Bed013.topic.8,Bed013.segment.302
Bed013.topic.9,Bed013.segment.413
Bed013.topic.10,Bed013.segment.424
Bed013.topic.11,Bed013.segment.468
Bed013.topic.12,Bed013.segment.519
Bed013.topic.13,Bed013.segment.543
Bed013.topic.14,Bed013.segment.667
Bed013.topic.15,Bed013.segment.728
Bed013.topic.16,Bed013.segment.787
Bed013.topic.17,Bed013.segment.842
Bed013.topic.18,Bed013.segment.866
Bed013.topic.19,Bed013.segment.905
Bed013.topic.20,Bed013.segment.909
Bed013.topic.21,Bed013.segment.951
Bed013.topic.22,"Bed013.segment.1,012"
Bed013.topic.23,"Bed013.segment.1,050"
Bed013.topic.24,"Bed013.segment.1,068"
Bed013.topic.25,"Bed013.segment.1,211"
Bed013.topic.26,"Bed013.segment.1,312"
Bed013.topic.27,"Bed013.segment.1,351"
Bed013.topic.28,"Bed013.segment.1,378"
Bed013.topic.29,"Bed013.segment.1,433"
Bed013.topic.30,"Bed013.segment.1,538"
Bed013.topic.31,"Bed013.segment.1,594"
Bed013.topic.32,"Bed013.segment.1,652"
Bed013.topic.33,"Bed013.segment.1,700"
Bed013.topic.34,"Bed013.segment.1,729"
Bed013.topic.35,"Bed013.segment.1,763"
Bed013.topic.36,"Bed013.segment.1,813"
Bed013.topic.37,"Bed013.segment.1,856"
Bed013.topic.38,"Bed013.segment.1,886"
