topic_id,start_segment_id
Bmr024.topic.13,Bmr024.segment.1
Bmr024.topic.12,Bmr024.segment.6
Bmr024.topic.14,Bmr024.segment.92
Bmr024.topic.17,Bmr024.segment.146
Bmr024.topic.28,Bmr024.segment.309
Bmr024.topic.16,Bmr024.segment.333
Bmr024.topic.20,Bmr024.segment.507
Bmr024.topic.21,Bmr024.segment.677
Bmr024.topic.19,Bmr024.segment.880
Bmr024.topic.18,"Bmr024.segment.1,276"
Bmr024.topic.27,"Bmr024.segment.1,782"
Bmr024.topic.26,"Bmr024.segment.2,385"
Bmr024.topic.25,"Bmr024.segment.2,464"
Bmr024.topic.22,"Bmr024.segment.2,503"
Bmr024.topic.23,"Bmr024.segment.2,541"
