topic_id,start_segment_id
Bmr009.topic.2,Bmr009.segment.1
Bmr009.topic.5,Bmr009.segment.62
Bmr009.topic.4,Bmr009.segment.182
Bmr009.topic.6,Bmr009.segment.243
Bmr009.topic.7,Bmr009.segment.524
Bmr009.topic.8,Bmr009.segment.837
Bmr009.topic.9,Bmr009.segment.883
Bmr009.topic.10,Bmr009.segment.971
Bmr009.topic.11,"Bmr009.segment.1,212"
Bmr009.topic.13,"Bmr009.segment.1,238"
Bmr009.topic.14,"Bmr009.segment.1,424"
Bmr009.topic.15,"Bmr009.segment.2,179"
Bmr009.topic.17,"Bmr009.segment.2,376"
Bmr009.topic.18,"Bmr009.segment.2,438"
