topic_id,start_segment_id
Bro012.topic.1,Bro012.segment.1
Bro012.topic.2,Bro012.segment.5
Bro012.topic.3,Bro012.segment.57
Bro012.topic.4,Bro012.segment.107
Bro012.topic.5,Bro012.segment.145
Bro012.topic.6,Bro012.segment.231
Bro012.topic.16,Bro012.segment.250
Bro012.topic.8,Bro012.segment.313
Bro012.topic.9,Bro012.segment.344
Bro012.topic.10,Bro012.segment.371
Bro012.topic.11,Bro012.segment.419
Bro012.topic.12,Bro012.segment.484
Bro012.topic.13,Bro012.segment.577
Bro012.topic.14,Bro012.segment.597
Bro012.topic.15,Bro012.segment.615
Bro012.topic.17,Bro012.segment.685
Bro012.topic.18,Bro012.segment.740
Bro012.topic.19,Bro012.segment.760
Bro012.topic.20,Bro012.segment.791
Bro012.topic.21,Bro012.segment.927
Bro012.topic.22,"Bro012.segment.1,012"
Bro012.topic.23,"Bro012.segment.1,077"
Bro012.topic.24,"Bro012.segment.1,194"
Bro012.topic.25,"Bro012.segment.1,279"
Bro012.topic.26,"Bro012.segment.1,404"
Bro012.topic.27,"Bro012.segment.1,445"
Bro012.topic.28,"Bro012.segment.1,455"
