topic_id,start_segment_id
Bed013.topic.1,Bed013.segment.1
Bed013.topic.2,Bed013.segment.27
Bed013.topic.3,Bed013.segment.62
Bed013.topic.4,Bed013.segment.86
Bed013.topic.5,Bed013.segment.110
Bed013.topic.9,Bed013.segment.413
Bed013.topic.11,Bed013.segment.468
Bed013.topic.16,Bed013.segment.787
Bed013.topic.17,Bed013.segment.842
Bed013.topic.18,Bed013.segment.866
Bed013.topic.19,Bed013.segment.905
Bed013.topic.22,"Bed013.segment.1,012"
Bed013.topic.36,"Bed013.segment.1,813"
Bed013.topic.37,"Bed013.segment.1,856"
Bed013.topic.38,"Bed013.segment.1,886"
