topic_id,start_segment_id
Bns003.topic.1,Bns003.segment.1
Bns003.topic.2,Bns003.segment.14
Bns003.topic.3,Bns003.segment.67
Bns003.topic.4,Bns003.segment.236
Bns003.topic.5,Bns003.segment.301
Bns003.topic.6,Bns003.segment.371
Bns003.topic.15,Bns003.segment.469
Bns003.topic.16,Bns003.segment.696
Bns003.topic.7,Bns003.segment.823
Bns003.topic.17,Bns003.segment.912
Bns003.topic.18,Bns003.segment.990
Bns003.topic.19,"Bns003.segment.1,195"
Bns003.topic.20,"Bns003.segment.1,239"
Bns003.topic.8,"Bns003.segment.1,334"
Bns003.topic.9,"Bns003.segment.1,423"
Bns003.topic.10,"Bns003.segment.1,453"
Bns003.topic.11,"Bns003.segment.1,508"
Bns003.topic.12,"Bns003.segment.1,623"
Bns003.topic.13,"Bns003.segment.1,687"
Bns003.topic.14,"Bns003.segment.1,703"
