topic_id,start_segment_id
Bro003.topic.1,Bro003.segment.1
Bro003.topic.2,Bro003.segment.21
Bro003.topic.3,Bro003.segment.169
Bro003.topic.4,Bro003.segment.247
Bro003.topic.6,Bro003.segment.348
Bro003.topic.7,Bro003.segment.381
Bro003.topic.10,Bro003.segment.666
Bro003.topic.11,Bro003.segment.732
Bro003.topic.12,Bro003.segment.776
Bro003.topic.13,Bro003.segment.846
Bro003.topic.14,Bro003.segment.886
Bro003.topic.15,Bro003.segment.944
Bro003.topic.16,"Bro003.segment.1,073"
Bro003.topic.17,"Bro003.segment.1,126"
Bro003.topic.18,"Bro003.segment.1,393"
Bro003.topic.19,"Bro003.segment.1,420"
Bro003.topic.20,"Bro003.segment.1,455"
Bro003.topic.21,"Bro003.segment.1,464"
Bro003.topic.22,"Bro003.segment.1,491"
Bro003.topic.23,"Bro003.segment.1,628"
Bro003.topic.24,"Bro003.segment.1,649"
Bro003.topic.25,"Bro003.segment.1,678"
Bro003.topic.26,"Bro003.segment.1,687"
Bro003.topic.27,"Bro003.segment.1,780"
