topic_id,start_segment_id
Bmr002.topic.1,Bmr002.segment.1
Bmr002.topic.2,Bmr002.segment.228
Bmr002.topic.3,Bmr002.segment.415
Bmr002.topic.4,Bmr002.segment.437
Bmr002.topic.5,Bmr002.segment.495
Bmr002.topic.6,Bmr002.segment.571
Bmr002.topic.7,Bmr002.segment.585
Bmr002.topic.8,Bmr002.segment.612
Bmr002.topic.9,Bmr002.segment.692
Bmr002.topic.10,Bmr002.segment.793
Bmr002.topic.11,Bmr002.segment.825
Bmr002.topic.12,Bmr002.segment.850
Bmr002.topic.13,Bmr002.segment.888
Bmr002.topic.14,Bmr002.segment.926
Bmr002.topic.15,Bmr002.segment.954
Bmr002.topic.16,"Bmr002.segment.1,023"
Bmr002.topic.17,"Bmr002.segment.1,071"
Bmr002.topic.18,"Bmr002.segment.1,096"
Bmr002.topic.20,"Bmr002.segment.1,163"
Bmr002.topic.22,"Bmr002.segment.1,310"
Bmr002.topic.23,"Bmr002.segment.1,382"
Bmr002.topic.24,"Bmr002.segment.1,414"
Bmr002.topic.25,"Bmr002.segment.1,449"
Bmr002.topic.26,"Bmr002.segment.1,526"
Bmr002.topic.27,"Bmr002.segment.1,636"
Bmr002.topic.28,"Bmr002.segment.1,651"
Bmr002.topic.32,"Bmr002.segment.1,686"
Bmr002.topic.33,"Bmr002.segment.1,706"
Bmr002.topic.34,"Bmr002.segment.1,733"
Bmr002.topic.35,"Bmr002.segment.1,775"
Bmr002.topic.36,"Bmr002.segment.1,799"
Bmr002.topic.37,"Bmr002.segment.1,854"
Bmr002.topic.38,"Bmr002.segment.1,881"
Bmr002.topic.39,"Bmr002.segment.1,909"
Bmr002.topic.40,"Bmr002.segment.1,968"
Bmr002.topic.41,"Bmr002.segment.2,002"
Bmr002.topic.42,"Bmr002.segment.2,124"
