topic_id,start_segment_id
Bro024.topic.1,Bro024.segment.2
Bro024.topic.2,Bro024.segment.44
Bro024.topic.3,Bro024.segment.63
Bro024.topic.4,Bro024.segment.182
Bro024.topic.5,Bro024.segment.202
Bro024.topic.6,Bro024.segment.233
Bro024.topic.7,Bro024.segment.278
Bro024.topic.8,Bro024.segment.439
Bro024.topic.9,Bro024.segment.500
Bro024.topic.10,Bro024.segment.540
Bro024.topic.11,Bro024.segment.617
Bro024.topic.12,Bro024.segment.725
Bro024.topic.13,Bro024.segment.789
Bro024.topic.15,"Bro024.segment.1,020"
Bro024.topic.16,"Bro024.segment.1,144"
Bro024.topic.17,"Bro024.segment.1,893"
Bro024.topic.18,"Bro024.segment.2,074"
Bro024.topic.19,"Bro024.segment.2,094"
