segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff;Level
Bro021.segment.5;5.719;6.049;10.998;17.05;[];4.948999999999999;True;0.9553344;0.0;0.0;0.0;1
Bro021.segment.7;15.419;15.799;16.031;17.396;['22.7829932143'];0.2319999999999993;False;0.4323849;0.0;0.0;0.17801;1
Bro021.segment.9;19.038;22.047;19.491;21.547;['22.7829932143', '77.0139300413', '55.1696942778', '40.9782895', '3.18236220312', '38.111252686'];-2.556000000000001;True;0.54527795;0.0;-0.71248;-0.53447;1
Bro021.segment.11;22.047;26.22;22.34;23.795;['22.7829932143', '77.0139300413', '55.1696942778', '40.9782895', '3.18236220312', '38.111252686', '50.9274649383', '2.98386940625', '2.02224619835', '3.90519214815', '2.06490875', '33.834794375', '39.7405444983', '2.57862293878', '3.54007912426', '31.6769873495', '35.5057151111', '35.3722724', '5.57480246939', '1.88018029752', '1.0251682449', '1.44469271875', '40.3463631111', '35.2166801327', '35.246420872'];-3.879999999999999;True;0.4226486;0.0;-0.1837599999999999;-0.57341;1
Bro021.segment.17;28.12;28.47;28.134;28.529;['49.0741467187', '41.0348720165'];-0.3359999999999985;True;0.8087632;0.0;0.0;0.1417699999999999;1
Bro021.segment.19;28.134;28.529;28.147;29.587;[];-0.3820000000000014;True;0.26281887;0.0;0.0;0.0;1
Bro021.segment.18;28.147;29.587;29.408;33.44;['47.7380712308', '41.8151951562', '45.3289890651', '54.9725933884', '42.30035125', '17.1064700833', '4.07114179592', '0.7638445', '1.15371991716', '42.62773996', '50.49326782'];-0.1789999999999985;True;0.8643325;0.0;0.0;-0.0122799999999999;1
Bro021.segment.20;29.408;33.44;30.29;31.924;[];-3.1499999999999986;True;0.3711577;0.0;0.0;0.0;1
Bro021.segment.21;30.29;31.924;31.332;33.763;[];-0.5919999999999987;True;0.9926512;0.0;0.0;0.0;1
Bro021.segment.24;31.964;32.954;33.052;36.27;['34.5893069751'];0.0979999999999989;False;0.46295932;0.0;0.0;0.31728;1
Bro021.segment.25;33.052;36.27;36.422;37.512;[];0.1519999999999939;False;0.7363627;0.0;0.0;0.0;1
Bro021.segment.26;36.422;37.512;37.028;41.635;['47.0559429511', '40.21072244', '22.2785678125', '45.1571349796', '41.0433284762', '38.6922707986'];-0.4840000000000017;True;0.63972497;0.0;-0.21479;-0.06935;1
Bro021.segment.28;38.274;38.974;40.834;43.994;['24.8211463187'];1.8600000000000063;False;0.40045923;0.0;1.14544;0.14544;1
Bro021.segment.29;40.834;43.994;44.663;48.063;['0.0', '44.0759622857', '45.8744141', '3.99635704536', '47.336809257', '19.4629310313', '0.782382111111', '1.055916295', '31.191646963', '29.5972189745'];0.6689999999999969;False;0.438852;0.0;-0.0168199999999999;-0.0310399999999999;1
Bro021.segment.30;44.663;48.063;46.018;46.848;['28.103548864', '12.4667359259', '1.54302832099', '36.7204720816', '33.749206087', '0.109901019391', '2.13693593388', '35.8433516178', '41.1184511605', '32.876446525', '0.0397825', '38.6635648318', '45.769449536'];-2.0450000000000017;True;0.18560039;0.0;0.37409;-0.19728;1
Bro021.segment.32;48.483;51.953;52.884;53.394;['38.5889803878', '47.153004', '38.3921260118', '1.28443467969', '3.3532365', '0.925814123457', '4.44693710681', '3.06632179592', '46.0498016805', '2.0740544', '1.30617208864', '42.7227266654', '39.5910524986', '38.049203391', '47.7638666942'];0.9309999999999974;True;0.36432907;0.0;-0.1594399999999999;-0.07133;1
Bro021.segment.34;52.884;53.394;53.322;53.702;['52.3028939167'];-0.0719999999999956;True;0.54055315;0.0;1.08811;0.0881099999999999;1
Bro021.segment.35;53.322;53.702;56.15;61.3;['0.0', '49.833817'];2.4480000000000004;False;0.46770647;1.0;-0.37919;-0.27235;1
Bro021.segment.36;56.15;61.3;57.27;57.44;['30.0851350556', '49.8086226446', '1.70846533333', '22.09716175', '49.2446853186', '16.7790713133', '1.46495183391', '0.0', '41.0941600692', '43.2084555612', '35.6105552433', '38.8771701975', '20.3278544375', '6.84272701235', '7.56485704132', '45.021783375', '28.9020265', '52.1872096049'];-4.029999999999994;True;0.39314848;0.0;0.81581;0.09833;1
Bro021.segment.37;57.27;57.44;59.725;60.101;['35.9597696'];2.285000000000004;True;0.3942101;0.0;-0.85397;-0.71748;1
