segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bro027.segment.2;1.82;11.52;3.172;3.952;['0.93798'];['54.461802525'];-8.347999999999999;True;[[0.4142661]];0.0
Bro027.segment.3;3.172;3.952;5.002;5.812;['1.34805'];['11.4848215'];1.0499999999999998;True;[[0.5646662]];0.0
Bro027.segment.4;5.002;5.812;6.852;7.692;['0.00000', '0.69712', '0.68839'];['0.0', '54.9586692188', '59.2043576429'];1.04;False;[[0.65492964]];0.0
Bro027.segment.5;6.852;7.692;11.904;13.056;['0.60310', '0.17179'];['23.9394925562', '22.8328141529'];4.212;True;[[0.64443475]];0.0
Bro027.segment.9;14.169;14.639;16.92;20.42;['0.23070'];['24.5455510248'];2.2810000000000024;False;[[0.73925245]];0.0
Bro027.segment.10;16.92;20.42;19.72;22.3;['0.23070', '0.21037', '0.00000'];['24.5455510248', '22.7262055225', '0.0'];-0.7000000000000028;False;[[0.69970363]];0.0
Bro027.segment.12;19.72;22.3;19.85;20.82;['0.00000', '0.00000', '0.00000', '0.49022'];['0.0', '0.0', '0.0', '44.0451713875'];-2.45;True;[[0.6411644]];0.0
Bro027.segment.13;22.99;25.08;29.61;31.06;['0.61569', '0.00000', '0.00000', '0.00000'];['47.7248877109', '0.0', '0.0', '0.0'];4.530000000000001;False;[[0.6454464]];1.0
Bro027.segment.14;29.61;31.06;31.516;35.89;['0.79710', '0.78478'];['41.63365399', '35.2331440977'];0.4559999999999995;False;[[0.40080526]];0.0
Bro027.segment.15;31.516;35.89;37.06;41.14;[];[];1.1700000000000017;False;[[0.3144244]];0.0
Bro027.segment.16;37.06;41.14;39.83;41.48;['0.00000', '0.00000', '0.62084', '0.87301', '0.42966', '0.74148', '0.92415', '0.11879', '0.86125', '1.22952', '1.11848', '0.80500', '0.19009'];['0.0', '0.0', '40.7206064167', '31.922303963', '36.2327418367', '41.6858502245', '36.36881568', '14.1665170248', '35.3058666797', '0.66712532', '11.399089787', '33.1497501191', '20.2598908789'];-1.3100000000000025;True;[[0.39537388]];0.0
Bro027.segment.17;39.83;41.48;41.69;42.52;['0.68449', '0.36339', '0.97111'];['51.9546872426', '38.417930625', '44.1580506556'];0.2100000000000008;True;[[0.7608004]];0.0
Bro027.segment.18;41.69;42.52;43.19;43.81;['0.81106', '0.67762'];['37.23799884', '38.6475325142'];0.6699999999999946;False;[[0.9512001]];0.0
Bro027.segment.19;43.19;43.81;45.21;52.085;['1.01839'];['29.5109440162'];1.3999999999999986;True;[[0.94844353]];0.0
