segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bro019.segment.1;0.17;3.29;0.83;1.47;['1.34505', '0.28719', '0.31627', '0.00000', '1.27213'];['10.8735294824', '29.6224818843', '27.5022726667', '0.0', '17.7024562667'];-2.46;True;[[0.44554332]];0.0
Bro019.segment.2;0.83;1.47;3.46;5.741;['1.17590', '1.10475'];['44.8596662041', '36.56689085'];1.99;True;[[0.3944448]];0.0
Bro019.segment.3;3.46;5.741;5.851;6.181;[];[];0.1100000000000003;True;[[0.3783365]];0.0
Bro019.segment.4;5.851;6.181;6.58;8.5;['0.50475'];['43.1327543296'];0.399;True;[[0.47855765]];0.0
Bro019.segment.5;6.58;8.5;7.808;8.178;['1.08402', '0.35568'];['47.0756862959', '44.229401864'];-0.6920000000000002;True;[[0.47855765]];0.0
Bro019.segment.6;7.808;8.178;9.42;11.924;['0.43069'];['40.243367369'];1.241999999999999;True;[[0.982309]];0.0
Bro019.segment.7;9.42;11.924;10.067;10.727;[];[];-1.8569999999999995;True;[[0.9054076]];0.0
Bro019.segment.8;10.067;10.727;11.924;20.344;['1.31040', '1.49787', '1.18555', '0.55260'];['11.0822866864', '1.9004950625', '21.66204766', '45.0899833457'];1.1969999999999992;True;[[0.1354188]];0.0
Bro019.segment.9;11.924;20.344;12.74;16.57;[];[];-7.604000000000001;True;[[0.65312004]];0.0
Bro019.segment.13;20.514;29.444;23.74;23.95;['1.12887', '1.29900', '1.45125', '1.53323', '0.90103', '0.69620', '1.70059', '1.64928', '1.24314', '0.92422', '1.22708', '0.87298', '1.03219', '1.02162', '0.72476', '0.63927', '0.36756', '0.81230', '0.47696', '0.63770', '0.00000', '0.86377', '1.10464', '0.49281', '0.82671', '1.61777', '1.43024', '1.41651', '1.21432', '1.02676', '1.64530'];['33.5306079669', '54.2674679587', '43.6726086049', '17.5717581736', '48.6812357755', '48.7598558025', '6.03341157093', '8.50919069204', '30.5672692038', '43.1242150493', '19.2121028286', '40.9544381703', '35.4457264671', '35.1252658512', '45.6842404375', '43.1736785587', '31.8567227344', '40.9616876', '38.6541313163', '41.6851299369', '0.0', '39.5974150744', '25.8594458339', '38.4592417415', '37.2217634694', '7.528276875', '6.8756628595', '6.40037197531', '16.477552455', '32.3466204', '8.61920970414'];-5.704000000000001;True;[[0.2136364]];0.0
Bro019.segment.14;23.74;23.95;29.25;29.61;[];[];5.300000000000001;False;[[0.95239806]];0.0
Bro019.segment.15;29.25;29.61;29.897;30.654;[];[];0.286999999999999;True;[[0.5964226]];0.0
Bro019.segment.16;29.897;30.654;30.07;36.037;[];[];-0.5839999999999996;True;[[0.695343]];0.0
Bro019.segment.18;30.704;31.554;31.924;35.784;['1.49794', '1.49312', '1.37350', '0.91997', '1.27046', '0.99162'];['6.62632007407', '4.55392142857', '2.76910957031', '36.2428638281', '2.49667636', '26.7877919388'];0.370000000000001;False;[[0.28112507]];0.0
Bro019.segment.19;31.924;35.784;36.024;42.194;['0.88384', '1.63819', '1.23411', '0.77005', '1.22262', '1.60817', '0.95620', '0.58792', '1.45927', '1.53249', '1.45143', '0.94183', '0.50727', '0.78192'];['51.4258990296', '0.48734231405', '46.242525963', '57.1040835986', '46.9594206011', '3.022069456', '41.3002699733', '44.46998304', '0.879735612457', '2.89442438227', '4.37894702041', '40.3579097609', '39.430723962', '44.0986251856'];0.240000000000002;False;[[0.56635034]];0.0
Bro019.segment.20;36.024;42.194;36.29;36.48;['0.42554', '1.28703', '1.46772', '1.49925', '1.50309', '1.45675', '1.42972', '1.08367', '0.56048', '0.64889', '0.09912', '0.95603', '1.31556', '1.09589', '1.16188', '1.11340', '1.27597', '0.87522', '0.72292', '1.22621', '0.51305', '0.99132', '0.71283', '1.29690', '1.27964', '1.45919', '1.06254', '0.77922', '0.07045', '0.71728'];['37.55246124', '16.22519994', '1.66034946875', '0.811227798817', '1.28995065928', '1.1790915', '0.4436568', '32.7303711419', '41.5630420069', '45.5356174723', '11.5342176568', '32.8700837355', '1.72477402041', '23.0258695556', '16.2748667407', '16.4583553241', '1.33398466116', '30.8114208698', '37.7113106968', '1.42108547152e-14', '36.381708', '29.4052316125', '41.9367646133', '1.665247875', '0.5805015', '4.68647239506', '26.4292622812', '37.4483107347', '8.07357024793', '36.1698708267'];-5.904000000000004;True;[[0.15092903]];0.0
Bro019.segment.21;36.29;36.48;36.63;39.29;[];[];0.1500000000000056;True;[[0.22116709]];0.0
Bro019.segment.24;42.654;47.874;43.58;44.39;['1.04727', '1.65691', '1.69191', '1.47717', '0.55354', '0.90721', '1.76246', '1.59728', '1.45379', '1.41233', '1.45824', '1.12369', '0.55592', '0.99946', '1.05027', '0.34817', '0.65837', '1.32418', '0.86275', '1.09680', '0.73824', '0.00000', '0.55300', '0.54499', '0.42568', '0.85895', '0.77980', '1.23793', '1.13153'];['44.0085341481', '3.738876375', '1.47554348', '17.6679460278', '43.6144757813', '57.1846146', '6.56434397633', '5.21849714286', '1.5888973125', '2.58925732544', '3.00274877509', '31.48369525', '35.041691625', '36.5825921111', '31.1537528304', '31.9214269091', '41.4992185', '3.89459568182', '31.0589106281', '23.6459160083', '38.7780428472', '0.0', '39.8366966531', '40.7138725048', '36.3021808772', '41.6481604438', '35.7477617851', '0.451564875', '14.5640506503'];-4.294000000000004;True;[[0.21858019]];0.0
Bro019.segment.27;48.31;48.86;49.0;53.9;['1.26812', '1.32137'];['9.02134772779', '9.89129956787'];0.1400000000000005;True;[[0.18320718]];0.0
Bro019.segment.28;49.0;53.9;53.233;56.572;['0.91189', '0.76531', '1.12533', '1.12249', '0.78035', '0.00000', '0.48325', '0.88594', '1.30675', '0.88933', '0.71505', '0.34227', '0.00000', '0.67399', '0.12412', '0.37342', '0.87243', '1.00273', '0.96631', '0.70633', '0.44878', '0.93092'];['34.76612412', '45.4023930796', '32.2423281198', '20.2154715918', '42.1613175102', '0.0', '36.55311348', '24.3919021837', '7.64442692308', '46.1647125398', '43.112033879', '31.3806755702', '0.0', '40.2860975714', '13.4124107755', '33.6251581633', '35.2699541784', '29.171736213', '32.0578785042', '42.4019860317', '37.1284129863', '33.5306558367'];-0.6670000000000016;True;[[0.6365843]];0.0
Bro019.segment.30;54.49;57.3;58.183;64.043;['0.55891', '0.39592', '0.32897', '0.66839', '1.14335', '0.68940', '0.87725', '0.65879', '0.71140', '0.59856', '0.46496', '0.87251', '0.44287'];['40.262572449', '34.93878528', '31.103682375', '38.6201254236', '18.17802584', '41.385574195', '31.597578449', '35.5936578367', '35.87357304', '37.7294050833', '39.0771382222', '27.9371631738', '34.6036294219'];0.8830000000000027;False;[[0.40857923]];0.0
Bro019.segment.31;58.183;64.043;65.16;66.75;['1.03978', '0.94297', '0.52379', '1.00504', '0.62433', '0.84108', '1.28714', '1.28578', '0.99605', '0.80719', '0.87938', '0.93287', '1.26026', '0.83919', '1.27614', '0.55941', '0.53002'];['36.4116046914', '32.3408843437', '38.341216845', '29.8121722076', '39.3535568', '37.8119845952', '2.0844336875', '1.38635533333', '31.3920130938', '39.9771370485', '40.0275133846', '35.28099464', '0.042517704142', '35.2645415556', '2.07598629167', '38.4672108099', '39.2541600224'];1.1169999999999902;False;[[0.3620986]];0.0
