segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bed010.segment.1;0.0;0.55;0.51;1.83;[];[];-0.04;True;[[0.32018673]];0.0
Bed010.segment.2;0.51;1.83;7.045;8.781;['0.00000', '0.59087', '1.78288', '0.62763', '0.69737', '0.00000', '0.00000'];['0.0', '39.5208504142', '46.50777632', '38.20172874', '40.4251097778', '0.0', '0.0'];5.215;True;[[0.23004782]];0.0
Bed010.segment.4;9.27;9.55;9.66;11.03;['0.61503', '0.63074'];['46.6738629917', '43.1040029388'];0.1099999999999994;True;[[0.8844044]];0.0
Bed010.segment.5;9.66;11.03;10.55;10.9;['1.27922', '0.95090'];['59.1913957603', '51.549738497'];-0.4799999999999986;True;[[0.9594444]];0.0
Bed010.segment.6;10.55;10.9;13.318;13.518;['0.00000'];['0.0'];2.418;True;[[0.96961087]];0.0
Bed010.segment.7;13.318;13.518;15.72;16.31;['0.00000'];['0.0'];2.202;False;[[0.9629816]];0.0
Bed010.segment.9;15.72;16.31;17.31;20.21;['0.00000'];['0.0'];1.0;False;[[0.45823702]];0.0
Bed010.segment.10;17.31;20.21;20.324;21.578;['0.00000', '0.00000', '0.00000', '0.00000', '0.00000', '0.44263', '2.22763', '0.56496', '1.16500', '2.97234', '0.87350'];['0.0', '0.0', '0.0', '0.0', '0.0', '29.708796', '42.5901347603', '33.179656875', '56.1387968757', '2.17329265744', '38.103518725'];0.1140000000000007;True;[[0.4358917]];0.0
Bed010.segment.12;21.124;22.194;22.874;30.254;['2.61337'];['40.2369962464'];0.6799999999999997;False;[[0.14216727]];1.0
Bed010.segment.13;22.874;30.254;29.19;29.91;['0.00000', '0.00000', '0.00000', '0.00000', '0.00000', '0.96676', '0.84060', '1.72622', '1.72390', '0.00000', '0.16828', '1.51454', '1.48044', '2.74732', '1.86846', '0.85905'];['0.0', '0.0', '0.0', '0.0', '0.0', '52.4475981374', '39.9775929822', '60.827425065', '63.1206944', '0.0', '12.4453458333', '59.2984125', '58.7334738537', '21.8776417076', '55.497180799', '45.5575591435'];-1.064;True;[[0.33541068]];0.0
Bed010.segment.15;31.217;32.567;33.35;39.84;['2.27444', '0.67776', '0.89653'];['34.9840903584', '39.803970375', '47.8385769184'];0.7830000000000013;False;[[0.48734227]];0.0
Bed010.segment.16;33.35;39.84;40.13;43.71;['0.00000', '1.08210', '2.38911', '1.52857', '3.01062', '1.68513', '1.28718', '2.18749', '1.72809', '2.88142', '2.96234', '1.46919', '0.61293', '0.93501', '1.50879'];['0.0', '56.4892836667', '49.2057144654', '59.8477058', '1.565288375', '54.3452539723', '55.9963223868', '36.7015627769', '52.4554817421', '5.6698360144', '7.01289895858', '51.1313273086', '37.3106675816', '49.069632573', '55.381144043'];0.2899999999999991;False;[[0.44472948]];0.0
Bed010.segment.17;40.13;43.71;44.43;46.49;['0.99048', '1.66199', '2.79174', '2.44186', '2.10893', '0.97558', '1.06275', '2.51429', '2.22299', '1.88849', '2.67501', '0.56522'];['43.3240564388', '57.8412760988', '4.8671848125', '19.121104', '42.8142359671', '48.9701882972', '51.2115096805', '15.1448143195', '34.8144075733', '45.5012134438', '2.24272103125', '27.7464973294'];0.7199999999999989;False;[[0.36030182]];0.0
Bed010.segment.18;44.43;46.49;48.04;48.71;['2.42053', '0.44250', '0.17079', '0.00000', '0.00000', '0.00000', '0.24647'];['44.4349962794', '2.73554283333', '5.67371828444', '0.0', '0.0', '0.0', '17.4320581311'];1.5499999999999972;True;[[0.78162]];0.0
Bed010.segment.19;48.04;48.71;49.7;50.42;['1.35325', '0.38060', '0.07713', '0.00028', '0.82023'];['49.3263705937', '4.94499946939', '4.96807634667', '0.0175562130178', '43.622546349'];0.990000000000002;False;[[0.8427637]];0.0
Bed010.segment.20;49.7;50.42;51.9;57.25;['1.19116'];['54.4694753644'];1.4799999999999969;False;[[0.3747866]];0.0
