segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bmr013.segment.73;92.495;93.033;93.46;93.7;[];[];0.4269999999999925;True;[[0.9679644]];0.0
Bmr013.segment.77;98.018;99.904;98.41;98.71;[];[];-1.4939999999999998;True;[[0.9008318]];0.0
Bmr013.segment.78;98.41;98.71;98.787;100.967;['1.06506'];['23.476028775'];0.0770000000000123;True;[[0.47976398]];0.0
Bmr013.segment.79;98.787;100.967;100.188;100.508;['1.09891', '1.16042', '2.30837', '1.47991', '0.00000', '0.33636', '0.94879', '0.67623'];['49.3264194911', '72.3883183333', '4.60647014815', '77.7420839889', '0.0', '34.4712984643', '57.1458839857', '45.4371092228'];-0.7789999999999964;True;[[0.48706758]];0.0
Bmr013.segment.80;100.188;100.508;101.137;102.127;['1.58342', '1.16045'];['9.13030471429', '21.7858335306'];0.6290000000000049;True;[[0.61495423]];0.0
Bmr013.segment.81;101.137;102.127;101.238;101.458;['0.00000', '0.85714', '0.00000', '0.51952', '1.18747'];['0.0', '32.9044413728', '0.0', '40.5106751563', '17.0549571557'];-0.8889999999999958;True;[[0.53949255]];0.0
Bmr013.segment.82;101.238;101.458;102.34;103.67;['0.91671'];['29.1503720556'];0.882000000000005;False;[[0.717512]];0.0
Bmr013.segment.83;102.34;103.67;104.79;105.87;['1.56996', '1.04346'];['39.1942312781', '46.3521627778'];1.1200000000000043;False;[[0.624823]];0.0
Bmr013.segment.84;104.79;105.87;105.608;106.583;['1.43227', '1.37506', '1.00367', '0.53073'];['3.03287036', '0.288628444444', '35.0893865833', '51.0040741383'];-0.2620000000000004;True;[[0.7115247]];0.0
Bmr013.segment.86;106.4;106.94;107.74;109.41;['0.92178', '0.76820', '0.70637', '0.95141'];['42.9685120741', '42.97139952', '37.0430310937', '23.4792412111'];0.7999999999999972;True;[[0.6809046]];0.0
Bmr013.segment.87;107.74;109.41;108.465;109.312;['1.63339', '1.24116', '1.03428', '0.65635', '0.68404'];['5.67794234349', '29.6922893504', '34.2344442722', '44.8822985', '51.4531384583'];-0.9449999999999932;True;[[0.9948466]];0.0
Bmr013.segment.89;109.86;112.19;112.768;114.203;['1.19421', '1.45039', '1.40567', '1.23666'];['15.6565981523', '3.58289543079', '7.0661947259', '46.9324094787'];0.578000000000003;True;[[0.60473454]];0.0
Bmr013.segment.91;113.425;113.905;114.65;115.95;['0.97157'];['95.5244224844'];0.7450000000000045;False;[[0.6136498]];0.0
Bmr013.segment.92;114.65;115.95;115.31;117.33;['0.71445', '1.64606', '1.29757', '0.71158', '0.72934', '1.09837', '2.08589'];['94.7741849383', '3.39630424793', '79.98706911', '101.94440364', '66.980335858', '107.991441862', '0.9588867'];-0.6400000000000006;True;[[0.81372225]];0.0
Bmr013.segment.93;115.31;117.33;116.503;119.063;[];[];-0.8269999999999982;True;[[0.73708165]];0.0
Bmr013.segment.94;116.503;119.063;119.79;121.3;['1.69690', '1.35371', '1.38222', '1.20795', '1.34574', '0.56313'];['3.96657347929', '71.3659141964', '57.4913760473', '69.2228824512', '66.4819031344', '87.399835575'];0.7270000000000039;True;[[0.9412012]];0.0
Bmr013.segment.95;119.79;121.3;121.831;123.544;['0.36822', '0.77798', '0.26956'];['36.3579361122', '40.7983832344', '29.0987327818'];0.5310000000000059;True;[[0.6453974]];0.0
Bmr013.segment.96;121.831;123.544;124.092;125.482;[];[];0.5480000000000018;False;[[0.6895167]];0.0
