segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;similarity;boundary
Bed006.segment.1;5.4;5.84;8.57;10.8;['1.02706'];['65.877532084'];2.7300000000000004;False;[[0.6967132]];0.0
Bed006.segment.3;9.346;9.706;13.384;20.074;['0.54192'];['55.2725265503'];3.678000000000001;True;[[0.37246013]];0.0
Bed006.segment.5;13.384;20.074;14.05;15.2;['0.19947', '1.13211', '0.95516', '0.45578', '1.20682', '1.99739', '1.25318', '1.54100', '1.36576', '1.17213', '0.76239', '1.40655', '1.26234', '0.57651', '1.27858', '1.55648', '0.92121', '0.75058', '0.68993', '1.20604', '1.14473', '0.94107', '1.01639', '1.63369', '1.58522', '1.63735', '1.10216'];['37.9096475', '69.5942597823', '82.1925502571', '79.9425502347', '97.1392816194', '3.43341069388', '91.4685337163', '51.164070051', '53.702884126', '70.27135957', '58.5115565422', '84.415316482', '76.5657158314', '82.174156875', '79.5254078678', '13.4315067197', '74.5488645973', '85.588912875', '86.540057835', '57.2519403378', '43.96661316', '95.3876651852', '92.71931728', '8.21950240816', '5.56196096296', '14.6601350249', '76.8023384675'];-6.024000000000001;True;[[0.75162125]];0.0
Bed006.segment.6;14.05;15.2;15.11;15.94;['2.08709', '1.89257', '0.94241', '0.60064', '0.00128'];['19.4950997959', '61.5366207692', '77.3884442469', '41.0371194793', '0.17703'];-0.0899999999999998;True;[[0.4094184]];0.0
Bed006.segment.7;15.11;15.94;17.047;19.557;['0.20976', '0.59889', '0.54482', '0.63710'];['25.1353023158', '23.8683656122', '41.3477566133', '56.498244735'];1.107000000000001;True;[[0.4964708]];0.0
Bed006.segment.8;17.047;19.557;17.28;19.03;['0.00000', '0.00000', '1.02655', '1.27448', '1.63113', '2.10560'];['0.0', '0.0', '94.8353599545', '82.41778188', '66.9721419506', '10.3832305'];-2.276999999999997;True;[[0.6452295]];0.0
Bed006.segment.9;17.28;19.03;18.128;18.588;[];[];-0.902000000000001;True;[[0.62973166]];0.0
Bed006.segment.10;18.128;18.588;19.3;20.175;['1.39390'];['59.7125063828'];0.7119999999999997;True;[[0.96817994]];0.0
Bed006.segment.11;19.3;20.175;20.682;21.972;[];[];0.5069999999999979;True;[[0.4848078]];0.0
Bed006.segment.12;20.682;21.972;21.077;22.03;['1.63185', '2.05001', '2.03346', '1.95878', '1.49154'];['60.30157724', '1.396491375', '2.74229087603', '2.80456202367', '48.6324773772'];-0.8949999999999996;True;[[0.59735143]];0.0
Bed006.segment.13;21.077;22.03;21.682;22.808;[];[];-0.3480000000000025;True;[[0.72296023]];0.0
Bed006.segment.15;21.93;22.54;22.03;23.54;['1.04476', '0.64678'];['33.5105068927', '42.486289675'];-0.509999999999998;True;[[0.9724821]];0.0
Bed006.segment.17;22.03;23.54;22.292;23.482;[];[];-1.2479999999999976;True;[[0.24990016]];0.0
Bed006.segment.16;22.292;23.482;23.49;24.79;['1.23922', '1.48162', '0.58283', '0.00000', '0.73484'];['86.8772407292', '44.1357407959', '76.0143612457', '0.0', '66.25561522'];0.0079999999999991;False;[[0.34121954]];0.0
Bed006.segment.18;23.49;24.79;23.54;24.447;[];[];-1.25;True;[[0.9663822]];0.0
Bed006.segment.19;23.54;24.447;23.58;24.715;[];[];-0.8670000000000009;True;[[0.8007765]];0.0
Bed006.segment.21;24.487;25.887;24.618;29.21;['0.00000', '0.28354', '0.52451'];['0.0', '44.244771856', '92.014680355'];-1.269000000000002;True;[[0.6027048]];0.0
Bed006.segment.22;24.618;29.21;28.24;29.13;[];[];-0.9700000000000024;True;[[0.6102013]];0.0
Bed006.segment.23;28.24;29.13;29.49;45.43;['0.00000', '0.95312'];['0.0', '37.8691356899'];0.3599999999999994;True;[[0.20280498]];0.0
Bed006.segment.25;29.49;45.43;29.56;30.17;['0.91784', '1.22597', '0.70281', '1.31446', '0.97446', '1.21793', '0.51455', '1.10887', '0.93250', '0.38702', '0.46060', '0.33526', '1.51881', '0.51648', '2.06892', '0.97806', '0.97311', '1.71276', '1.79554', '1.89602', '1.35134', '1.33470', '1.31856', '0.95526', '0.93861', '0.91864', '1.40927', '0.67890', '0.82666', '0.73045', '1.01542', '1.00843', '1.13367', '0.76369'];['57.300243899', '41.9186520809', '70.2016573867', '60.4330539184', '76.0431914583', '17.7838787734', '71.228620397', '70.3815392099', '26.3722719', '42.6371856055', '60.38546556', '40.3654275918', '49.1543418639', '62.5967538264', '10.7426204198', '71.8578183817', '75.9379979861', '2.385187125', '3.85299272189', '23.7218951211', '53.1341712444', '38.5276316066', '3.97727708333', '59.9030525794', '43.7262482344', '57.3499508889', '1.2033863125', '63.5745659375', '51.6079034321', '54.72137184', '28.0654978878', '49.0277624379', '31.6519532337', '59.184428604'];-15.87;True;[[0.37196296]];0.0
Bed006.segment.24;29.56;30.17;35.898;36.975;['0.31533', '1.03714', '0.69807', '0.24397'];['56.5046581224', '50.65089225', '3.60620816327', '37.0931564444'];5.7280000000000015;True;[[0.6639909]];0.0
Bed006.segment.27;35.99;37.14;41.058;41.632;[];[];3.9179999999999993;True;[[0.86283207]];0.0
Bed006.segment.29;41.625;41.865;44.19;45.69;['1.13592'];['9.93623190582'];2.324999999999996;True;[[0.19347328]];0.0
