,Unnamed: 0,segID,StartTimeA,EndTimeA,StartTimeB,EndTimeB,f0_means,f0_stds,pause,speakerChange,id,similarity
0,0,Bns003.segment.1,6.579,7.007,10.469,12.246,[],[],3.462,True,Bns003.segment.1,[[0.594278]]
1,0,Bns003.segment.2,10.469,12.246,12.818,14.013,[],[],0.5719999999999992,True,Bns003.segment.2,[[0.40238962]]
2,0,Bns003.segment.3,12.818,14.013,17.095,17.507,[],[],3.081999999999999,False,Bns003.segment.3,[[0.62657493]]
3,0,Bns003.segment.4,17.095,17.507,17.919,18.461,[],[],0.411999999999999,False,Bns003.segment.4,[[0.7923752]]
4,0,Bns003.segment.5,17.919,18.461,19.927,20.118,[],[],1.466000000000001,False,Bns003.segment.5,[[0.7659952]]
5,0,Bns003.segment.6,19.927,20.118,25.148,25.881,[],[],5.030000000000001,False,Bns003.segment.6,[[0.8256684]]
6,0,Bns003.segment.8,25.148,25.881,26.003,26.813,[],[],0.1219999999999998,True,Bns003.segment.8,[[0.6831979]]
7,0,Bns003.segment.9,26.003,26.813,27.079,27.264,"['1.29932', '1.66072', '0.92059']","['55.9830496364', '28.1589498512', '63.58248835']",0.2660000000000018,True,Bns003.segment.9,[[0.7474574]]
8,0,Bns003.segment.10,27.079,27.264,27.413,32.333,[],[],0.1490000000000009,True,Bns003.segment.10,[[0.28911388]]
9,0,Bns003.segment.11,27.413,32.333,28.087,28.749,"['0.91844', '1.39777', '1.45410', '1.79994', '1.53223', '0.81168', '1.45465', '1.42367', '1.30914', '1.23636', '1.24514', '1.19453', '1.14013', '1.17145', '1.44085', '1.12360', '0.72840', '0.08097', '0.23828', '0.58411']","['43.5293859', '1.2712870625', '6.27797742222', '10.9933735385', '35.5440462716', '56.1010761719', '1.68646363636', '0.952399191111', '1.75809916', '1.9471588', '3.68742861111', '0.981349623457', '4.62281311111', '4.50442305102', '39.67890384', '6.72369775', '31.3838265124', '11.3706694321', '30.7998736364', '61.0379417037']",-4.245999999999999,True,Bns003.segment.11,[[0.43602028]]
10,0,Bns003.segment.12,28.087,28.749,31.011,32.634,[],[],2.2620000000000005,False,Bns003.segment.12,[[0.5003376]]
11,0,Bns003.segment.13,31.011,32.634,32.99,34.29,[],[],0.3560000000000016,True,Bns003.segment.13,[[0.48844308]]
12,0,Bns003.segment.14,32.99,34.29,35.341,38.351,"['1.49030', '1.07954', '1.38241', '1.00490', '1.34871']","['13.7642380992', '37.8996563457', '1.80373754', '35.4782704377', '49.3756167243']",1.051000000000002,False,Bns003.segment.14,[[0.55085325]]
13,0,Bns003.segment.15,35.341,38.351,38.5,39.504,"['1.18301', '1.58477', '1.42678', '1.01112', '0.98800', '0.97168', '1.41504', '0.69593', '0.57327']","['30.1443089594', '6.2365448', '4.13333249383', '46.5905986389', '35.5123052781', '44.0578657959', '7.04881452', '52.0789304543', '52.2502885429']",0.1490000000000009,True,Bns003.segment.15,[[0.77103055]]
14,0,Bns003.segment.17,38.607,39.957,40.709,41.429,"['1.14636', '0.66949', '0.96885', '0.70165', '1.08058', '0.98435']","['22.6381830312', '48.076553719', '31.8877532812', '46.1872825', '17.07129896', '48.2229437593']",0.7520000000000024,False,Bns003.segment.17,[[0.592788]]
15,0,Bns003.segment.18,40.709,41.429,41.303,41.423,"['1.16643', '0.62640', '0.67880', '1.31492']","['32.5194163806', '54.9783391358', '53.6192142143', '2.77448720833']",-0.1260000000000047,True,Bns003.segment.18,[[0.6240057]]
16,0,Bns003.segment.19,41.303,41.423,42.024,42.574,['0.62119'],['53.3673424959'],0.6009999999999991,True,Bns003.segment.19,[[0.39809608]]
17,0,Bns003.segment.20,42.024,42.574,42.734,43.074,"['0.79967', '0.86549', '1.13653']","['50.53352844', '45.5777402222', '21.1239002076']",0.1600000000000037,False,Bns003.segment.20,[[0.38292456]]
18,0,Bns003.segment.21,42.734,43.074,44.165,45.375,"['0.44343', '0.22614']","['43.8935769695', '28.6247358678']",1.091000000000001,False,Bns003.segment.21,[[0.7271595]]
19,0,Bns003.segment.22,44.165,45.375,45.895,46.738,"['1.00009', '1.03011']","['28.86636928', '14.9440452489']",0.5200000000000031,True,Bns003.segment.22,[[0.52232146]]
20,0,Bns003.segment.25,46.014,48.724,49.199,52.599,"['1.12566', '0.85747', '0.72148', '0.35467', '0.69097', '1.20331', '1.06615', '1.20528', '0.99225', '0.95601']","['22.7994151742', '38.7043515918', '42.7432995937', '35.6568060661', '45.4836511806', '5.08151152778', '8.21201175207', '1.20245746939', '33.0107708512', '29.3677226543']",0.4750000000000014,False,Bns003.segment.25,[[0.3724144]]
21,0,Bns003.segment.26,49.199,52.599,52.664,53.193,"['0.60353', '0.45549', '0.81878', '1.33374', '0.78965', '1.08120', '0.77426', '0.55064', '0.85742', '1.10807', '0.64902', '1.23576', '1.20822', '1.36330']","['52.0079554711', '39.2506614545', '58.3154310401', '18.04124544', '44.0300745467', '17.08113162', '40.7730703111', '43.4956493333', '38.7020901633', '16.6584740816', '45.9635523306', '1.63670378512', '0.51641434375', '29.8836070928']",0.0650000000000048,False,Bns003.segment.26,[[0.3078806]]
22,0,Bns003.segment.28,53.243,53.833,54.55,56.89,"['0.44444', '0.78478', '0.71109']","['42.12854358', '29.4085484444', '44.9363584']",0.7169999999999987,False,Bns003.segment.28,[[0.34083146]]
