Unnamed: 0;segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_means;f0_stds;pause;speakerChange;id;similarity
0;Bmr029.segment.1;1.009;2.057;2.472;4.055;[];[];0.415;True;Bmr029.segment.1;[[0.9341649]]
0;Bmr029.segment.2;2.472;4.055;4.411;7.467;[];[];0.3559999999999998;False;Bmr029.segment.2;[[0.57320875]]
0;Bmr029.segment.3;4.411;7.467;8.04;12.34;['0.69520', '1.65912', '1.54647', '1.46023', '1.71340', '1.57991', '1.47766', '0.55467', '1.27610', '0.69474', '1.08955', '1.29858', '1.20402', '1.12700', '1.03965'];['53.0139279669', '1.06013432099', '34.90799788', '30.3645626563', '4.27825904082', '2.03231745679', '17.1140823391', '51.6972657778', '34.7593585496', '48.563584875', '43.5208817959', '22.8928007751', '43.6404516708', '39.5748314235', '32.6030794444'];0.5729999999999995;False;Bmr029.segment.3;[[0.5968256]]
0;Bmr029.segment.4;8.04;12.34;13.567;15.448;['1.33895', '1.29542', '0.79661', '0.92673', '0.69198', '1.02140', '1.46807', '0.58324', '1.36099', '0.71305', '0.37760', '1.12597', '0.93461'];['18.044714955', '9.1521677284', '47.7295706939', '51.82443048', '50.1623985295', '43.4597308809', '3.98657377855', '47.9641220069', '6.75663416667', '46.5208686133', '38.3929098843', '29.252311261', '49.439821832'];1.2270000000000003;True;Bmr029.segment.4;[[0.6040695]]
0;Bmr029.segment.5;13.567;15.448;14.696;15.43;[];[];-0.7520000000000007;True;Bmr029.segment.5;[[0.71494275]]
0;Bmr029.segment.6;14.696;15.43;15.448;19.068;[];[];0.0180000000000006;True;Bmr029.segment.6;[[0.501327]]
0;Bmr029.segment.7;15.55;18.2;18.875;24.86;['1.06524', '1.36232', '1.34448', '1.20556', '1.32787', '1.52128', '1.50134'];['53.1873780867', '32.649920062', '36.9168688', '37.4057046578', '18.56421692', '2.31811596825', '17.0820491424'];0.6750000000000007;False;Bmr029.segment.7;[[0.5469693]]
0;Bmr029.segment.9;18.875;24.86;23.43;26.04;[];[];-1.4299999999999995;True;Bmr029.segment.9;[[0.5192184]]
0;Bmr029.segment.10;23.43;26.04;26.86;28.33;['1.27195', '1.03824', '1.09179', '0.99213', '1.09054', '1.26920', '1.30073'];['33.4504877883', '41.5718274375', '56.0388201867', '60.0107741486', '53.6909049648', '21.573449', '14.4882025784'];0.8200000000000003;False;Bmr029.segment.10;[[0.67602575]]
0;Bmr029.segment.11;26.86;28.33;29.172;31.602;['0.96710', '0.66314'];['48.7475240741', '53.6369140292'];0.8420000000000023;False;Bmr029.segment.11;[[0.55926687]]
