;segID;boundary
0;Bns001.segment.3;0.0
1;Bns001.segment.4;0.0
2;Bns001.segment.5;0.0
3;Bns001.segment.6;0.0
4;Bns001.segment.7;0.0
5;Bns001.segment.8;0.0
6;Bns001.segment.9;0.0
7;Bns001.segment.10;0.0
8;Bns001.segment.11;0.0
9;Bns001.segment.12;0.0
10;Bns001.segment.13;0.0
11;Bns001.segment.14;0.0
12;Bns001.segment.15;0.0
13;Bns001.segment.16;0.0
14;Bns001.segment.17;0.0
15;Bns001.segment.18;0.0
16;Bns001.segment.19;0.0
17;Bns001.segment.20;0.0
18;Bns001.segment.21;0.0
19;Bns001.segment.22;0.0
20;Bns001.segment.23;0.0
21;Bns001.segment.24;0.0
22;Bns001.segment.25;0.0
23;Bns001.segment.26;0.0
24;Bns001.segment.27;0.0
25;Bns001.segment.28;0.0
26;Bns001.segment.29;0.0
27;Bns001.segment.30;0.0
28;Bns001.segment.31;0.0
29;Bns001.segment.32;0.0
30;Bns001.segment.33;0.0
31;Bns001.segment.34;0.0
32;Bns001.segment.35;0.0
33;Bns001.segment.36;0.0
34;Bns001.segment.37;0.0
35;Bns001.segment.38;0.0
36;Bns001.segment.40;0.0
37;Bns001.segment.41;0.0
38;Bns001.segment.42;0.0
39;Bns001.segment.43;0.0
40;Bns001.segment.44;0.0
41;Bns001.segment.45;0.0
42;Bns001.segment.46;0.0
43;Bns001.segment.47;0.0
44;Bns001.segment.48;0.0
45;Bns001.segment.49;0.0
46;Bns001.segment.50;0.0
47;Bns001.segment.51;0.0
48;Bns001.segment.52;0.0
49;Bns001.segment.53;0.0
50;Bns001.segment.54;0.0
51;Bns001.segment.55;0.0
52;Bns001.segment.56;0.0
53;Bns001.segment.57;0.0
54;Bns001.segment.58;0.0
55;Bns001.segment.59;0.0
56;Bns001.segment.60;0.0
57;Bns001.segment.61;0.0
58;Bns001.segment.62;0.0
59;Bns001.segment.63;0.0
60;Bns001.segment.64;0.0
61;Bns001.segment.65;0.0
62;Bns001.segment.66;0.0
63;Bns001.segment.67;0.0
64;Bns001.segment.68;0.0
65;Bns001.segment.69;0.0
66;Bns001.segment.70;0.0
67;Bns001.segment.71;0.0
68;Bns001.segment.72;0.0
69;Bns001.segment.73;0.0
70;Bns001.segment.74;0.0
71;Bns001.segment.75;0.0
72;Bns001.segment.76;0.0
73;Bns001.segment.77;0.0
74;Bns001.segment.78;0.0
75;Bns001.segment.79;0.0
76;Bns001.segment.80;0.0
77;Bns001.segment.81;0.0
78;Bns001.segment.82;0.0
79;Bns001.segment.83;0.0
80;Bns001.segment.84;0.0
81;Bns001.segment.85;0.0
82;Bns001.segment.86;0.0
83;Bns001.segment.87;0.0
84;Bns001.segment.88;0.0
85;Bns001.segment.89;0.0
86;Bns001.segment.90;0.0
87;Bns001.segment.91;0.0
88;Bns001.segment.92;0.0
89;Bns001.segment.93;0.0
90;Bns001.segment.94;0.0
91;Bns001.segment.95;0.0
92;Bns001.segment.96;0.0
93;Bns001.segment.97;0.0
94;Bns001.segment.98;0.0
95;Bns001.segment.99;0.0
96;Bns001.segment.100;0.0
97;Bns001.segment.101;0.0
98;Bns001.segment.102;0.0
99;Bns001.segment.103;0.0
100;Bns001.segment.104;0.0
101;Bns001.segment.105;0.0
102;Bns001.segment.106;0.0
103;Bns001.segment.107;0.0
104;Bns001.segment.108;0.0
105;Bns001.segment.109;0.0
106;Bns001.segment.110;0.0
107;Bns001.segment.111;0.0
108;Bns001.segment.112;0.0
109;Bns001.segment.113;0.0
110;Bns001.segment.114;0.0
111;Bns001.segment.115;0.0
112;Bns001.segment.116;0.0
113;Bns001.segment.117;0.0
114;Bns001.segment.118;0.0
115;Bns001.segment.119;0.0
116;Bns001.segment.120;0.0
117;Bns001.segment.121;0.0
118;Bns001.segment.122;0.0
119;Bns001.segment.123;0.0
120;Bns001.segment.124;0.0
121;Bns001.segment.125;0.0
122;Bns001.segment.126;0.0
123;Bns001.segment.127;0.0
124;Bns001.segment.128;0.0
125;Bns001.segment.129;0.0
126;Bns001.segment.130;0.0
127;Bns001.segment.131;0.0
128;Bns001.segment.132;0.0
129;Bns001.segment.133;0.0
130;Bns001.segment.134;0.0
131;Bns001.segment.135;0.0
132;Bns001.segment.136;0.0
133;Bns001.segment.137;0.0
134;Bns001.segment.138;0.0
135;Bns001.segment.139;0.0
136;Bns001.segment.140;0.0
137;Bns001.segment.141;0.0
138;Bns001.segment.142;0.0
139;Bns001.segment.143;0.0
140;Bns001.segment.144;0.0
141;Bns001.segment.145;0.0
142;Bns001.segment.146;0.0
143;Bns001.segment.147;0.0
144;Bns001.segment.148;0.0
145;Bns001.segment.149;0.0
146;Bns001.segment.150;0.0
147;Bns001.segment.151;0.0
148;Bns001.segment.152;0.0
149;Bns001.segment.153;0.0
150;Bns001.segment.154;0.0
151;Bns001.segment.155;0.0
152;Bns001.segment.156;0.0
153;Bns001.segment.157;0.0
154;Bns001.segment.158;0.0
155;Bns001.segment.159;0.0
156;Bns001.segment.160;0.0
157;Bns001.segment.161;0.0
158;Bns001.segment.162;0.0
159;Bns001.segment.163;0.0
160;Bns001.segment.164;0.0
161;Bns001.segment.165;1.0
162;Bns001.segment.166;0.0
163;Bns001.segment.167;0.0
164;Bns001.segment.169;0.0
165;Bns001.segment.170;0.0
166;Bns001.segment.171;0.0
167;Bns001.segment.172;0.0
168;Bns001.segment.173;0.0
169;Bns001.segment.174;0.0
170;Bns001.segment.175;0.0
171;Bns001.segment.176;0.0
172;Bns001.segment.177;0.0
173;Bns001.segment.178;0.0
174;Bns001.segment.179;0.0
175;Bns001.segment.180;0.0
176;Bns001.segment.181;0.0
177;Bns001.segment.182;0.0
178;Bns001.segment.183;0.0
179;Bns001.segment.184;0.0
180;Bns001.segment.185;0.0
181;Bns001.segment.186;0.0
182;Bns001.segment.187;0.0
183;Bns001.segment.188;0.0
184;Bns001.segment.189;0.0
185;Bns001.segment.190;0.0
186;Bns001.segment.191;0.0
187;Bns001.segment.192;0.0
188;Bns001.segment.193;0.0
189;Bns001.segment.194;0.0
190;Bns001.segment.195;0.0
191;Bns001.segment.196;0.0
192;Bns001.segment.197;0.0
193;Bns001.segment.198;0.0
194;Bns001.segment.199;0.0
195;Bns001.segment.200;0.0
196;Bns001.segment.201;0.0
197;Bns001.segment.204;0.0
198;Bns001.segment.203;0.0
199;Bns001.segment.205;0.0
200;Bns001.segment.206;0.0
201;Bns001.segment.207;0.0
202;Bns001.segment.208;0.0
203;Bns001.segment.209;0.0
204;Bns001.segment.210;0.0
205;Bns001.segment.211;0.0
206;Bns001.segment.215;0.0
207;Bns001.segment.216;0.0
208;Bns001.segment.217;0.0
209;Bns001.segment.218;0.0
210;Bns001.segment.219;0.0
211;Bns001.segment.220;0.0
212;Bns001.segment.221;0.0
213;Bns001.segment.222;0.0
214;Bns001.segment.223;0.0
215;Bns001.segment.224;0.0
216;Bns001.segment.226;0.0
217;Bns001.segment.227;0.0
218;Bns001.segment.228;0.0
219;Bns001.segment.229;0.0
220;Bns001.segment.231;0.0
221;Bns001.segment.230;0.0
222;Bns001.segment.232;0.0
223;Bns001.segment.234;0.0
224;Bns001.segment.235;0.0
225;Bns001.segment.236;0.0
226;Bns001.segment.237;0.0
227;Bns001.segment.238;0.0
228;Bns001.segment.239;0.0
229;Bns001.segment.240;0.0
230;Bns001.segment.241;0.0
231;Bns001.segment.242;0.0
232;Bns001.segment.243;0.0
233;Bns001.segment.244;0.0
234;Bns001.segment.245;0.0
235;Bns001.segment.246;0.0
236;Bns001.segment.247;0.0
237;Bns001.segment.248;0.0
238;Bns001.segment.249;0.0
239;Bns001.segment.250;0.0
240;Bns001.segment.251;0.0
241;Bns001.segment.252;0.0
242;Bns001.segment.253;0.0
243;Bns001.segment.254;0.0
244;Bns001.segment.255;0.0
245;Bns001.segment.256;0.0
246;Bns001.segment.257;1.0
247;Bns001.segment.258;0.0
248;Bns001.segment.260;0.0
249;Bns001.segment.261;0.0
250;Bns001.segment.262;0.0
251;Bns001.segment.264;0.0
252;Bns001.segment.266;0.0
253;Bns001.segment.267;0.0
254;Bns001.segment.268;0.0
255;Bns001.segment.269;0.0
256;Bns001.segment.270;0.0
257;Bns001.segment.271;0.0
258;Bns001.segment.272;0.0
259;Bns001.segment.273;0.0
260;Bns001.segment.274;0.0
261;Bns001.segment.275;0.0
262;Bns001.segment.276;0.0
263;Bns001.segment.277;0.0
264;Bns001.segment.278;0.0
265;Bns001.segment.279;0.0
266;Bns001.segment.280;0.0
267;Bns001.segment.281;0.0
268;Bns001.segment.282;0.0
269;Bns001.segment.283;0.0
270;Bns001.segment.284;0.0
271;Bns001.segment.285;0.0
272;Bns001.segment.286;0.0
273;Bns001.segment.287;0.0
274;Bns001.segment.288;0.0
275;Bns001.segment.289;0.0
276;Bns001.segment.290;0.0
277;Bns001.segment.291;0.0
278;Bns001.segment.292;0.0
279;Bns001.segment.293;0.0
280;Bns001.segment.294;0.0
281;Bns001.segment.295;0.0
282;Bns001.segment.296;0.0
283;Bns001.segment.297;0.0
284;Bns001.segment.298;0.0
285;Bns001.segment.299;0.0
286;Bns001.segment.300;0.0
287;Bns001.segment.301;0.0
288;Bns001.segment.302;0.0
289;Bns001.segment.303;0.0
290;Bns001.segment.304;0.0
291;Bns001.segment.305;0.0
292;Bns001.segment.306;0.0
293;Bns001.segment.307;0.0
294;Bns001.segment.308;0.0
295;Bns001.segment.309;0.0
296;Bns001.segment.310;0.0
297;Bns001.segment.311;0.0
298;Bns001.segment.312;0.0
299;Bns001.segment.313;0.0
300;Bns001.segment.314;0.0
301;Bns001.segment.315;0.0
302;Bns001.segment.316;0.0
303;Bns001.segment.317;0.0
304;Bns001.segment.318;0.0
305;Bns001.segment.319;0.0
306;Bns001.segment.320;0.0
307;Bns001.segment.321;0.0
308;Bns001.segment.322;0.0
309;Bns001.segment.323;0.0
310;Bns001.segment.324;0.0
311;Bns001.segment.325;0.0
312;Bns001.segment.326;0.0
313;Bns001.segment.327;0.0
314;Bns001.segment.328;0.0
315;Bns001.segment.329;0.0
316;Bns001.segment.330;0.0
317;Bns001.segment.331;0.0
318;Bns001.segment.332;0.0
319;Bns001.segment.333;0.0
320;Bns001.segment.334;0.0
321;Bns001.segment.335;0.0
322;Bns001.segment.337;0.0
323;Bns001.segment.338;0.0
324;Bns001.segment.339;0.0
325;Bns001.segment.340;0.0
326;Bns001.segment.341;0.0
