segID;StartTimeA;EndTimeA;StartTimeB;EndTimeB;f0_stds;pause;speakerChange;similarity;boundary;f0_diff;f0_baseline_diff
Bro027.segment.2;1.82;11.52;3.172;3.952;['54.461802525'];-8.347999999999999;True;0.4142661;0.0;-0.41006999999999993;-0.062019999999999964
Bro027.segment.3;3.172;3.952;5.002;5.812;['11.4848215'];1.0499999999999998;True;0.5646662;0.0;1.34805;0.34804999999999997
Bro027.segment.4;5.002;5.812;6.852;7.692;['0.0', '54.9586692188', '59.2043576429'];1.04;False;0.65492964;0.0;0.08528999999999998;-0.31161000000000005
Bro027.segment.5;6.852;7.692;11.904;13.056;['23.9394925562', '22.8328141529'];4.212;True;0.64443475;0.0;-0.05890999999999999;-0.82821
Bro027.segment.9;14.169;14.639;16.92;20.42;['24.5455510248'];2.2810000000000024;False;0.73925245;0.0;0.0;-0.7693
Bro027.segment.10;16.92;20.42;19.72;22.3;['24.5455510248', '22.7262055225', '0.0'];-0.7000000000000028;False;0.69970363;0.0;0.0;-1.0
Bro027.segment.12;19.72;22.3;19.85;20.82;['0.0', '0.0', '0.0', '44.0451713875'];-2.45;True;0.6411644;0.0;-0.12546999999999997;-0.50978
Bro027.segment.13;22.99;25.08;29.61;31.06;['47.7248877109', '0.0', '0.0', '0.0'];4.530000000000001;False;0.6454464;1.0;-0.7971;-1.0
Bro027.segment.14;29.61;31.06;31.516;35.89;['41.63365399', '35.2331440977'];0.4559999999999995;False;0.40080526;0.0;0.0;-0.21521999999999997
Bro027.segment.15;31.516;35.89;37.06;41.14;[];1.1700000000000017;False;0.3144244;0.0;0.0;0.0
Bro027.segment.16;37.06;41.14;39.83;41.48;['0.0', '0.0', '40.7206064167', '31.922303963', '36.2327418367', '41.6858502245', '36.36881568', '14.1665170248', '35.3058666797', '0.66712532', '11.399089787', '33.1497501191', '20.2598908789'];-1.3100000000000025;True;0.39537388;0.0;-0.49440000000000006;-0.80991
Bro027.segment.17;39.83;41.48;41.69;42.52;['51.9546872426', '38.417930625', '44.1580506556'];0.2100000000000008;True;0.7608004;0.0;0.16005000000000003;-0.02888999999999997
Bro027.segment.18;41.69;42.52;43.19;43.81;['37.23799884', '38.6475325142'];0.6699999999999946;False;0.9512001;0.0;-0.3407699999999999;-0.32238
Bro027.segment.19;43.19;43.81;45.21;52.085;['29.5109440162'];1.3999999999999986;True;0.94844353;0.0;0.0;0.018389999999999906
Bro027.segment.21;47.15;48.453;48.55;51.61;[];0.0969999999999942;False;0.55024445;0.0;0.0;0.0
Bro027.segment.22;48.55;51.61;52.34;56.67;['39.0208659424', '1.719175375', '2.16757112889', '39.09046193', '1.14222183432', '1.5996804', '24.863358924'];0.730000000000004;False;0.75756;0.0;-0.13174000000000008;-0.017850000000000033
Bro027.segment.23;52.34;56.67;57.12;63.35;['14.8603353422', '2.25394078107', '2.95823026', '0.12532648', '3.20684442857', '41.0699387143', '43.4193680744', '20.2300419107', '19.9202360408', '36.5313070692', '30.2067179174', '35.0365471', '26.9777521875', '1.70078274', '6.36362415702'];0.4499999999999957;False;0.42324427;0.0;0.09084000000000003;0.03639999999999999
Bro027.segment.24;57.12;63.35;63.56;67.001;['23.626190059', '1.8680054876', '20.9567983592', '39.561659787', '2.63934736', '2.406024625', '28.3209690612', '35.8313996883', '28.4307621728', '27.6535572687', '26.57217788', '36.2765310562', '2.21108508333', '10.117835602', '26.2132545625', '22.37715868'];0.2100000000000008;False;0.25172612;0.0;0.82801;0.05871000000000004
